Name,Description
Charlesbank Capital Partners,"Charlesbank Capital Partners is an American private equity investment firm based in Boston and New York City that specializes in the middle market. The firm has $23B of total assets across three investment strategies: flagship middle market private equity, lower middle market technology private equity and middle market opportunistic credit."
Charterhouse Capital Partners,"Charterhouse Capital Partners is a London based private equity investment firm focused on investing in European mid-market companies valued between €200m and €1.5bn. The company targets investments across the services, healthcare, specialised industrials and consumer sectors."
Chicago Growth Partners,"Chicago Growth Partners (formerly known as William Blair Capital Partners) is a private equity firm focused on leveraged buyout and growth capital investments in middle-market companies across a range of industries, including, education, business services, healthcare and industrial growth.
The firm, which is based in Chicago, Illinois, was founded in 2004 although the group traces its roots back to the founding of William Blair Capital Partners in 1982.  The Chicago Growth Partners and its predecessor have raised approximately $1.8 billion since inception across nine funds.  The team had raised and deployed six funds as the core group behind William Blair Capital Partners.  William Blair Capital Partners VII, which closed in 2001 with $403 million was the final fund raised within the William Blair Capital Partners platform."
Cinven,"Cinven Limited is a global private equity firm founded in 1977, with offices in nine international locations in Guernsey, London, New York, Paris, Frankfurt, Milan, Luxembourg, Madrid, and Hong Kong that acquires Europe and United States–based corporations, and emerging market firms that fit with their core businesses, and necessitate a minimum equity investment of €100 million or more. As of 2024, it has €44 billion in assets under management.
Cinven's funding base originally came solely from three pension funds in the United Kingdom (British Coal, the Railway Industry and Barclays Bank) who remain as important investors. Cinven has been reported to originally stand for Coal Investment Nominees' for Venture Capital.
Cinven invests in six sectors on an international basis: Business Services; Technology, Media and Telecommunications; Financial Services; Industrials; Healthcare; and Consumer.
In July 2021, the firm was fined £43m by the UK Competition and Markets Authority for its part in a generic drug pricefixing scandal, which had resulted in the National Health Service being overcharged by ""hundreds of millions of pounds"" over several years.
In January 2024, Cinven raised $14.5 billion for its eighth private equity fund."
CircleUp,"CircleUp is a financial technology company based in San Francisco that focuses on consumer goods startups. Since its official launch in April 2012, CircleUp has helped several consumer companies raise equity, including Back to the Roots, Halo Top Creamery, Little Duck Organics, Rhythm Superfoods and others. General Mills has an investment fund that is partnered with CircleUp to invest in companies listed on the platform."
"Clayton, Dubilier & Rice","Clayton, Dubilier & Rice, LLC (CD&R) is an American private equity company. CD&R is the 24th oldest private equity firm in the world. CD&R has managed the investment of more than $30 billion in approximately 90 businesses, representing a broad range of industries with an aggregate transaction value in excess of $140 billion. Approximately half of CD&R's investments have involved corporate divestitures.
CD&R had ownership stakes in, among others, B&M Retail, Envision Healthcare, The Hertz Corporation, Hussman International, Rexel (a distributor of electrical parts and equipment) and US Foods (a broadline foodservice distributor), Sally Beauty, Diversey, Inc., VWR International, Brake Bros, Kinko's (now FedEx Office, previously FedEx Kinko's), Uniroyal Goodrich Tire Company, White Cap, and Lexmark.
In June 2024, Clayton, Dubilier & Rice were ranked 11th in Private Equity International's PEI 300 ranking of the largest private equity firms in the world and in August 2024 the firm was named one of the best private equity firms of 2024 by GrowthCap."
Clearlake Capital,"Clearlake Capital Group, L.P. is a private equity firm founded in 2006 that focuses on the technology, industrial and consumer sectors. The firm is headquartered in Santa Monica with affiliates in Dallas, London and Dublin. In 2022, the firm was a part of an investor consortium named BlueCo that purchased Chelsea.
In 2024, Clearlake Capital was ranked 16th in Private Equity International's PEI 300 ranking of the largest private equity firms in the world."
Close Brothers Group,"Close Brothers Group plc is a UK merchant banking group which provides lending, takes deposits, manages wealth and trades in securities. It is listed on the London Stock Exchange and is a constituent of the FTSE 250 Index."
Coller Capital,"Coller Capital is one of the largest global investors in the private equity secondary market (""secondaries""). It was founded in 1990 by the UK-based investor and philanthropist Jeremy Coller."
Continental Investors,
Cortec Group,"Cortec Group is an American private equity firm founded in 1984 and based in New York City. The firm specializes in investing in middle-market companies, primarily focusing on healthcare, consumer products, value-added distribution, and specialty services sectors in the United States and Canada."
Council Capital,"Council Capital is a private equity and venture capital healthcare firm based in Nashville, Tennessee, U.S."
Court Square Capital Partners,"Court Square Capital Partners is a private equity firm focused on leveraged buyout transactions.  Court Square was originally a captive private equity firm within Citigroup known as Citigroup Venture Capital Equity Partners. Court Square's investment professionals have invested over $4.5 billion in more than 150 transactions, which have returned $14 billion to date.
Court Square is headquartered in New York City and was spun out of Citigroup in 2006.  The firm is named after the location of Citigroup's offices at One Court Square in Queens."
Crescent Capital Group,"Crescent Capital Group is a global alternative investment firm focused on below investment grade credit markets with primary strategies that include funds that invest in leveraged loans, high-yield bonds, mezzanine debt, special situations, and distressed securities. The firm has approximately $40 billion of assets under management and has made investments in over 190 companies since its inception as well as expanded into the European market with operations based in London.
Since its founding in 1991, the firm has raised approximately $25 billion across seven funds. TCW/Crescent maintains a strategic partnership with TCW Group (Trust Company of the West), a leading institutional money management firm with approximately $180 billion in assets under management.
In January 2021, Sun Life Financial acquired a majority stake (51%) in the company. The firm is based in Los Angeles."
Crossroads Group,"The Crossroads Group was a Dallas-based private equity fund of funds firm focusing on venture capital investments.  The firm, founded in 1981 by Brad Heppner, was acquired by Lehman Brothers in October 2003. Since Lehman Brothers' 2008 bankruptcy, Crossroads has been a part of Neuberger Berman."
Cypress Group,"The Cypress Group is a private equity company focused on leveraged buyout investments in companies across a range of industry sectors.  At its peak in the late 1990s and early 2000s, Cypress was among the largest US private equity firms, although by the end of the decade the firm would find itself in the process of winding down its operations.
The firm, based in New York City, was founded in 1994 by the four senior members of Lehman Brothers' merchant banking group, Jim Stern, Jeff Hughes, Jamie Singleton and David Spalding.
Cypress has raised approximately $3.6 billion since its inception across two funds raised in 1996 and 1999."
DFO Management,"DFO Management, LLC (formerly MSD Capital) is an American family office that manages the capital of Michael Dell and his family. The firm, which is based in New York City and has offices in Santa Monica and West Palm Beach, was formed in 1998."
Deerfield Management,"Deerfield Management (""Deerfield"") is an American investment firm headquartered in New York City. It is focused on making public and private investments in the healthcare and biotechnology industries. Deerfield is considered to be one of the largest dedicated healthcare investment firms in the world."
Defoe Fournier & Cie.,
Diamond Castle,"Diamond Castle Holdings is a private equity firm focused on leveraged buyout and growth capital investments in middle-market companies across a range of industries including the media, healthcare, financial services, power and industrial sectors.
The firm, which is based in New York City, was founded in 2004.  The firm has raised approximately $1.9 billion since inception."
Diamond Castle Holdings,"Diamond Castle Holdings is a private equity firm focused on leveraged buyout and growth capital investments in middle-market companies across a range of industries including the media, healthcare, financial services, power and industrial sectors.
The firm, which is based in New York City, was founded in 2004. As of 2011, the firm had raised approximately $1.9 billion since its inception."
DigitalBridge,"DigitalBridge Group, Inc. is a global digital infrastructure investment firm. The company owns, invests in and operates businesses such as cell towers, data centers, fiber, small cells, and edge infrastructure. Headquartered in Boca Raton, DigitalBridge has offices in Los Angeles, New York, London, and Singapore.
In 2010, DigitalBridge, then still Colony Capital, was reported to manage about $30 billion in investments."
Doughty Hanson & Co,"Doughty Hanson & Co. is a British private equity fund manager focused on leveraged buyout and recapitalization transactions primarily of upper middle-market companies in Europe.  The firm also invests opportunistically in European real estate and provides early-stage venture capital to technology companies.
The firm which was founded in 1985 by Nigel Doughty, Chris Wallis and Richard Hanson is one of the oldest European buyout private equity firms.  Since its inception, the firm has invested over €23 billion across more than 100 investments.
On 4 February 2012, Doughty was found dead in the gymnasium of his Lincolnshire home.
Then, on 10 August 2015, the firm announced the shutdown of most of its European offices after abandoning its next round of funding.  The offices closed in 2015 included Paris, Frankfurt, Madrid and Stockholm.  In May 2017, the firm re-branded itself to DH Private Equity Partners."
Duke Street Capital,"Duke Street Capital is a private equity firm focused on leveraged buyout and growth capital investments in middle-market companies in Western Europe, particularly the UK and France. Duke Street invests across four sectors: consumer, healthcare, industrials/engineering, and services. It focuses on companies with an enterprise value up to £400 million."
ECI Partners,"ECI Partners is a growth focused private equity group based in the UK and the US, first established by the Bank of England in 1976.
ECI typically invests up to £200m of equity (as part of an initial transaction) in businesses valued at up to £300m across four sectors: services, consumer, technology/software, and healthcare.
It was a founder member of both the European Venture Capital Association (now ""Invest Europe"") and British Private Equity and Venture Capital Association (""BVCA"") in 1983 having organised its first management buyout (for Ansafone) in 1980. Early investments included Williams Holdings – owner of Chubb and Kidde – founded by Nigel Rudd and Brian McGowan, Shanks & McEwan, National Express and Bloomsbury Publishing.
The turn of the millennium saw ECI raise their seventh fund (ECI7 - £175m) with leading growth investments including Thinkmoney and
LateRooms (sold for a 9x return on investment).
In September 2023, ECI announced the final close of its twelfth buyout fund, ECI 12, hitting its £1 billion hard cap, beating a £900 million target."
Egerton Capital,"Egerton Capital is a British hedge fund.
Egerton Capital was founded in 1994 by John Armitage and William Bollinger. Armitage is the chief investment officer and a co-founder.
As of November 2014, it had 23 employees. They are based at Stratton House, 5 Stratton Street, Mayfair, London, W1.
In the year to 31 March 2014, Egerton made a profit of £141.4 million, which was divided between its 12 partners.
As of 31 March 2019, Egerton had $19.8 billion in assets under management."
Elevation Partners,"Elevation Partners was an American private equity firm that invested in intellectual property, technology and media companies. The firm had $1.9 billion of assets under management. The firm was founded in 2004 and was headquartered in New York City and Menlo Park, California. In the years 2012–2015, their assets were acquired by other companies, with portfolio under the name Elevation Partners closing in 2015. Some members of the board formed a company called ""NextEquity Partners"", which invests in similar sites. Rock musician Bono went on to co-found ""The Rise Fund"", dedicated to improving the United Nations' seven sectors of sustainable development."
Ellington Management Group,"Ellington Management Group is a multi-billion dollar hedge fund operation. As of June 2019, the firm was reportedly managing $8.5 billion in structured products and other credit instruments."
Emerging Capital Partners,"Emerging Capital Partners (ECP) is a Pan-African private equity firm that has raised over US$2 billion through funds and co-investment vehicles for growth capital investing in Africa. Founded in 2000 under the leadership of Thomas Gibian, Hurley Doddy, Vincent Le Guennou, and Carolyn Campbell, ECP has over 20 years of investing experience on the continent and is one of the largest and longest-established private equity fund managers focused on Africa, with an investment team operating in three offices on the continent. In May 2007, when ECP closed its second fund with capital commitments of over US$520 million, the company became the first private equity group to raise over $1 billion for investment in Africa. ECP has made over 60 investments covering more than 44 African countries and has realized 48 full exits."
EnCap Investments,"EnCap Investments is an American private equity firm, specializing in the energy industry, particularly oil & gas. The firm was established in 1988 and is based in Houston, Texas."
Endless (private equity),"Endless is a British private equity firm. It is headquartered at Ground Floor, 12 King Street, Leeds, with an office at 102 Park Street, London W1.
In 2017, Endless bought Jones Bootmaker, saving 840 jobs according to BBC. Endless has also invested in West Cornwall Pasty Company, Crown Paints, and Theo Fennell. In April 2006, the firm acquired GlynWebb, which it sold on four months later. In March 2011, Endless acquired T. J. Hughes for an undisclosed sum.
In July 2017, the firm bought the luggage company Antler Luggage from fellow private equity firm Lloyds Development Capital (LDC). In July 2018, it announced that The Works, which it bought out of administration (rescued from insolvency) in May 2008 for around £17 million, would have an IPO, and a valuation of £100 million.
In 2019, Endless acquired Victoria Plum."
Energy Capital Partners,"Energy Capital Partners Management, LP (ECP) is an American investment firm headquartered in Summit, New Jersey. It focuses on investments in the energy sector. The firm has additional offices in New York City, Houston, San Diego, Fort Lauderdale and Seoul.
In August 2024, ECP merged with Bridgepoint Group to form a private assets investment platform.

"
Equity International,"Equity International is a private equity firm founded by Sam Zell to invest in real estate in markets outside of the United States. Since its founding in 1999, it has invested in 28 companies."
Ethos Capital,"Ethos Capital is an American private equity investment firm founded in 2019 in Boston, Massachusetts, in order to make majority and control minority investments in middle-market companies, primarily across North America and Europe. It is best known for attempting and failing to gain control of the .org internet domain."
Evercore,"Evercore Inc., formerly known as Evercore Partners, is a global independent investment banking advisory firm founded in 1995 by Roger Altman, David Offensend, and Austin Beutner. The firm has advised on over $4.7 trillion of merger, acquisition, and restructuring transactions since its founding.
Evercore advises on mergers and acquisitions, divestitures, restructurings, financings, public offerings, private placements and other strategic transactions and  provides institutional investors with macro and fundamental equity research, sales and trading execution. It offers wealth management, institutional asset management and private equity investing.
Evercore is headquartered in New York City and has 28 offices in 11 countries across North America, Europe, South America and Asia, with approximately 1,950 employees.

"
Fenway Partners,"Fenway Partners is an American private equity firm that makes leveraged buyout and growth capital investments in transportation logistics, consumer products, and manufacturing companies in the middle market.
In 2002 Fenway acquired the molding equipment and customer base of Premier Tile. The price for the acquisition was $8.25 million.
The firm was founded in 1994 by Richard Dresdale (formerly Clayton, Dubilier & Rice) and Peter Lamm (formerly Butler Capital Partners) and has over $2 billion of capital under management.  Since its inception, the firm has raised three private equity funds.  Fenway's first fund closed on approximately $525 million of capital commitments in 1996 and just two years later, in 1998, the firm raised an additional $900 million of capital.  As a result of several investments made in the 1998 fund, before the collapse of the dot-com bubble, performance in that fund was affected.  Nevertheless, the firm was able to raise a successor fund in 2006 and 2007 with approximately $700 million of commitments from institutional investors."
Fenway Sports Group,"Fenway Sports Group Holdings, LLC (FSG), is an American multinational sports holding conglomerate which owns Major League Baseball's Boston Red Sox, Premier League’s Liverpool, National Hockey League's Pittsburgh Penguins, NASCAR's RFK Racing, and TGL's Boston Common Golf.
FSG was founded in 2001 as New England Sports Ventures (NESV) when John W. Henry joined forces with Tom Werner, Les Otten, the New York Times Company and other investors to successfully bid for the Red Sox. NESV formally announced its name change to Fenway Sports Group in March 2011.
In addition to owning the Red Sox, Liverpool and the Penguins, the Boston-based limited liability company also owns the home stadiums for both the Red Sox (Fenway Park) and Liverpool (Anfield), as well as Fenway Sports Management (which in turn owns the Salem Red Sox, a Single-A minor league baseball franchise), and 80% of the New England Sports Network (NESN).
FSG has been praised for its successful emergence as a sophisticated international sports conglomerate.  However, in 2019, FSG was criticized for an attempt by Liverpool to trademark ""Liverpool"", which was turned down because of the ""geographical significance"" of the name. In 2021, FSG was embroiled in a controversy over its attempts, together with the ownership groups of eleven other soccer clubs, to create a European Super League. In doing so, FSG sought to emulate elements of the North American sports model, creating a competition with strictly limited entry beyond a proposed 15 founding member clubs and appearing to largely eliminate the European system of meritocratic promotion and relegation. Principal owner John W. Henry later issued an apology in which he took sole responsibility for the club's involvement in the venture, which subsequently collapsed."
First Reserve Corporation,"First Reserve Corporation is a private equity firm specializing in leveraged buyouts and growth capital investments in the energy sector.  First Reserve was founded in 1984 and is the oldest and largest private equity fund dedicated to investments in the energy sector.
As of 2017, First Reserve had approximately 155 employees across three offices in Stamford, Connecticut, Houston, Texas and London."
Formation 8,"Formation 8 was an American venture capital firm founded in 2011 by Joe Lonsdale, Jim Kim, and Brian Koo. The company was headquartered in San Francisco, California.
The firm was one of the most successful venture capital firms in the industry before abruptly disbanding in November 2015."
Forstmann Little & Company,"Forstmann, Little & Company was an American private equity firm, specializing in leveraged buyouts (LBOs).  At its peak in the late 1990s, Forstmann Little was among the largest private equity firms globally.  Ultimately, the firm would suffer from the bursting of the internet and telecom bubbles, having invested heavily in technology and telecommunications companies. Following the death of the last surviving founder, Theodore Forstmann, in 2011, the firm was dissolved and its assets sold off. It closed in May 2014."
Fortress Investment Group,"Fortress Investment Group, LLC is an American investment management firm based in New York City. It was founded as a private equity firm in 1998 by Wes Edens, Rob Kauffman, Pete Briger, Michael Novogratz, and Randal Nardone."
Fox Paine & Company,"Fox Paine & Company is a private equity firm focused on leveraged buyout transactions.  Fox Paine & Company, LLC was founded in 1996 by former Kohlberg Kravis Roberts partner Saul A. Fox. Former Kohlberg & Co. partner W. Dexter Paine III was brought on as Fox's Partner in 1997.  In December 2007, after several months of litigation, the partners separated, with Saul Fox retaining the firm's name, while Dexter Paine formed a new firm, Paine & Partners, with the legacy Fox Paine investment team.
The firm invests in specialized property and casualty insurance, software, semiconductors, agribusiness, healthcare, energy, telecommunications, industrials, consumer personal care products, and medical diagnostic equipment.
Fox Paine, originally based in Foster City, California, is currently headquartered in Woodside, California."
Francisco Partners,"Francisco Partners Management, L.P., doing business as Francisco Partners, is an American private equity firm focused exclusively on investments in technology and technology-enabled services businesses. It was founded in August 1999 and based in San Francisco with offices in London and New York City.
In June 2022, Francisco Partners were ranked 20th in Private Equity International's PEI 300 ranking of the largest private equity firms in the world.
In June 2024, Francisco Partners ranked 27th in Private Equity International's PEI 300 ranking among the world's largest private equity firms."
Frazier Healthcare Partners,"Frazier Healthcare Partners is a healthcare private equity and venture capital firm based in Seattle, Washington with offices in Menlo Park, California that invests across the U.S., Canada and Europe. The firm specializes in leveraged buyouts, growth equity and venture capital financing."
Freeman Spogli & Co.,Freeman Spogli & Co. is an American private equity firm dedicated to investing with management in middle market companies in the consumer and distribution sectors through leveraged buyouts and recapitalizations. The firm is a private enterprise and primarily invests in its domestic American market.
Fremont Group,"Fremont Group is a private investment group based in San Francisco, California, United States. It was formerly known as Bechtel Investments up until 1993, reflecting its ownership by the Bechtel family. In 1993, its name was officially changed to Fremont Investors, Inc."
Friedman Fleischer & Lowe,"FFL Partners, LLC, previously known as Friedman Fleischer & Lowe, is an American private equity firm, founded in 1997 by Tully Friedman, Spencer Fleischer, David Lowe, and Christopher Masto.  The firm makes investments primarily through leveraged buyouts and growth capital investments and is focused on investing in the U.S. middle-market.
FFL has focused its efforts on several core target industries including healthcare services, financial services, business services, and consumer products. FFL is based in San Francisco and employs over 20 investment professionals. Since inception, FFL has raised approximately $4.6 billion of investor commitments.

"
Frontenac Company,"Frontenac is a Chicago-based private equity firm founded in 1971. The firm focuses on investing in lower middle market buyout transactions in the consumer, industrial, and services industries. Frontenac works in partnership with established operating leaders, through an executive-centric approach called CEO1ST, which seeks to identify, acquire, and build market-leading companies through transformational acquisitions and operational excellence. Over the last 50 years, Frontenac has built a leading franchise working with over 275 owners of mid-sized businesses as they address complex transition issues of liquidity, management enhancement, and growth planning.
Frontenac uses a trademarked methodology it calls ""CEO1ST"", which looks to combine seasoned operating executives with high-potential companies. The firm funds and supports its CEO1st partners in acquiring and growing businesses through a well-established process that includes defining a thesis, sourcing investment opportunities, evaluating alternatives and executing a deal. A CEO1ST executive may serve as CEO, Chairman or lead director post close, depending on his/her own objectives and the specific needs of the company.
As of 2021, Frontenac’s senior team includes Paul Carbery, Walter Florence, Ron Kuehl, Michael Langdon and Elizabeth Williamson."
GI Partners,"GI Partners is a middle market private equity firm based in San Francisco, California."
GK Investment,"GK Investment Holding Group SA is a Lugano-based private equity and investment firm whose primary focus is in the healthcare Real Estate, Private Equity and Consultancy sector. The principal areas of investment interest are in Africa, Europe, and Asia."
GSO Capital Partners,"GSO Capital Partners (GSO) was an American hedge fund and the credit investment arm of The Blackstone Group. It was one of the largest credit-oriented alternative asset managers in the world and a major participant in the leveraged finance marketplace. The firm invests across a variety of credit oriented strategies and products including collateralized loan obligation vehicles investing in secured loans, hedge funds focused on special situations investments, mezzanine debt funds and private equity funds focused on rescue financing.
It was acquired by Blackstone in March 2008. In November 2020, it was rebranded to Blackstone Credit."
GTCR,"GTCR LLC is a Chicago, Illinois-based private equity firm focused on leveraged buyout, leveraged recapitalization, growth capital and rollup transactions.  The firm principally invests in high-growth industries, including financial services & technology, healthcare, information services & technology, and growth business services.
Since 1980, GTCR has reportedly invested more than $15 billion in over 200 companies. As of 2021, the firm has more than 80 employees, including over 40 investment professionals.

"
GV (company),"GV Management Company, L.L.C. is a venture capital investment arm of Alphabet Inc., founded by Bill Maris, that provides seed, venture, and growth stage funding to technology companies. Founded as Google Ventures in 2010, the firm has operated independently of Google, Alphabet's search and advertising division, since 2015. GV invests in startup companies in a variety of fields ranging from the Internet, software, and hardware to life science, healthcare, artificial intelligence, transportation, cyber security and agriculture. It has helped finance more than 300 companies that include Uber, Nest, Slack, and Flatiron Health."
General Atlantic,"General Atlantic, legal main entity General Atlantic Service Company, L.P., (also known as ""GA"") is an American growth equity firm providing capital and strategic support for global growth companies, headquartered in New York, United States. The firm was founded in 1980 as the captive investment team for Atlantic Philanthropies, a philanthropic organization founded by Charles F. Feeney, the billionaire co-founder of Duty Free Shoppers Ltd.
As of November 2021, General Atlantic has over $86 billion in assets under management and focuses on investments across five sectors, including Technology, Consumer, Financial Services, Healthcare, and Life Sciences. The firm has 185 investment professionals based in New York City, Stamford, Palo Alto, São Paulo, London, Munich, Amsterdam, Beijing, Hong Kong, Mumbai, Shanghai, Mexico City, Singapore, and Jakarta.
In June 2023, General Atlantic were ranked ninth in Private Equity International's PEI 300 ranking of the largest private equity firms in the world.
However, in June 2024, General Atlantic saw its ranking drop, ranking 15th in Private Equity International's PEI 300 ranking among the world's largest private equity firms."
Genstar Capital,"Genstar Capital is a private equity firm that executes leveraged buyout transactions in middle-market companies based in North America. Founded in 1988, Genstar currently has approximately $33 billion in assets under management. 
Based in San Francisco, Genstar is focused on investing in financial services, software, industrial technology, and healthcare. 
In June 2024, Genstar Capital ranked 25th in Private Equity International's PEI 300 ranking among the world's largest private equity firms.

"
Gimv,"Gimv (Euronext Brussels: GIMB
) is a Belgian European investment company with experience in private equity and venture capital. Gimv is listed on Euronext Brussels and manages around 1.8 billion EUR  invested in about 60 portfolio companies.
Gimv identifies entrepreneurial and innovative companies with high-growth potential. Gimv’s five investment platforms are: Connected Consumer, Life Sciences, Health & Care, Smart Industries and Sustainable Cities."
Golden Gate Capital,"Golden Gate Capital is an American private equity firm based in San Francisco. The firm makes investments in a number of select industries, including technology, financial services, retail and industrial, through leveraged buyout transactions, as well as significant minority purchases and growth capital investments. As of April 2018, it had over $15 billion in assets under management.
The firm was founded in 2000 by former investment professionals from private equity firm Bain Capital and its affiliate, Bain & Company, led by former Bain Capital partner David Dominik.
Golden Gate's investment fund is structured as an evergreen fund with no finite life, meaning Golden Gate does not have to sell all investments within five to 10 years in order to raise another fund and can instead fund-raise as deals are made.
As of 2017, the firm had approximately 54 investment professionals."
Goldman Sachs Capital Partners,"Goldman Sachs Alternatives is the alternative investment arm of Goldman Sachs, focused on private equity, private credit, secondaries, real estate, infrastructure, and growth equity investments globally. The group, which is based in New York City, was founded in 1986."
Graphite Capital,"Graphite Capital is a private equity firm focused on mid-market leveraged buyout investments, primarily in the UK.  The group manages around £1.2 billion for institutional investors, with the most recent fund raising over £500 million in 2018. Since 1991, the firm has backed almost 100 management teams through various investments.
The firm has managed private equity funds since 1981 and in 2001 became fully independent. The firm has a single office in Air Street in London's West End.  The firm's Managing Partners are Andy Gray and Markus Golser, who joined in 1992 and 1997 respectively.

"
Greenfield Partners,"Greenfield Partners is a growth equity firm based in New York and Tel Aviv that invests in early growth stage technology and tech-enabled companies.
Established in 2016 by TPG Growth as an investment platform for early growth technology investments in Israel, Greenfield Partners is independent since  2020 and has made investments in many startups such as Vast Data, BigPanda, Guardicore, Coralogix, Silverfort and Capitolis.

"
Greycroft,"Greycroft LP is an American venture capital firm. It manages over $3 billion in capital with investments in companies such as Bird, Bumble, HuffPost, Goop, Scopely, The RealReal, and Venmo. Greycroft was founded in 2006 by Alan Patricof, Dana Settle, and Ian Sigalow. The firm is headquartered in New York City,  Los Angeles, and the San Francisco Bay Area."
Greylock Partners,"Greylock Partners is one of the oldest venture capital firms, founded in 1965, with committed capital of over $3.5 billion under management. The firm focuses on early-stage companies in consumer and enterprise software."
Grovepoint Capital,"Grovepoint Capital is a private equity firm headquartered in London, United Kingdom. It has additional offices in Israel. It was co-founded by Leon Blitz and Bradley Fried in 2010. 
In 2013, it acquired a majority stake in Algatechnologies, an Israeli biotech start-up, at a value of $50 million. In 2014 it acquired a majority stake in the sports nutrition company Grenade at a valuation of £35 million; in 2017 Lion Capital acquired a majority stake in the business from Grovepoint valued at £72 million. In 2015 it bought Payzone UK from Duke Street.
The firm has provided credit including a €25 million debt package to German retailer NKD and a £19 million funding line to the British caravan holiday company Pure Leisure Group. In 2018 the credit arm of the business was renamed from Grovepoint Credit to Bantry Bay Capital.  

"
H.I.G. Capital,"H.I.G. Capital, LLC is a global alternative investment firm with $69 billion of capital under management. Headquartered in Miami, Florida, H.I.G. specializes in providing both debt and equity capital to middle market companies.
According to the firm’s website, H.I.G. has invested in and managed more than 400 companies, since inception. The firm’s current portfolio includes more than 100 companies with combined sales in excess of $53 billion. H.I.G. currently has over 1000 total employees, including more than 500 investment professionals worldwide.

"
HGGC,"HGGC, LLC is an American middle-market private equity firm based in Palo Alto, California, with over $7 billion of cumulative capital commitments. Since its inception in 2007, HGGC has completed transactions with an aggregate transaction value of $50 billion. The firm was named 2014 M&A Mid-Market Private Equity Firm of the Year by Mergers & Acquisitions magazine.
HGGC is led by private equity executive Rich Lawson, who is CEO, NFL Hall of Fame quarterback  Steve Young, Harv Barenz, Les Brown, David Chung, Bill Conrad, Steve Leistner, Lance Taylor and Neil White.

"
HM Capital Partners,"HM Capital Partners was a private equity firm in the United States that specialized in leveraged buyouts. The firm was previously known as Hicks, Muse, Tate & Furst. It was founded in 1989 by Tom Hicks and John Muse as Hicks, Muse & Co. and was changed in 1994 to reflect the roles of Charles Tate and Jack Furst."
HPS Investment Partners,"HPS Investment Partners, LLC (HPS) is an American investment firm headquartered in New York City. The firm focuses on investments in private credit, public credit, private equity and real assets. In 2022, HPS was ranked by Private Debt Investor as the third largest private debt investment company based on total fundraising over the most recent five-year period. As of December 2024, HPS has $148 billion in assets under management."
Hambro Magan,"Hambro Magan was a London-based private equity firm from 1988 to 1996. 

"
Hamilton Bradshaw,"Hamilton Bradshaw (HB) is a mid-market private equity firm with its headquarters in London, England. The company was founded in 2003 by UK entrepreneur and former Dragons' Den panelist James Caan. Hamilton Bradshaw's main offices are located in Mayfair, London, and can be segmented into private equity, venture capital, recruitment, and real estate."
Hamilton Lane,"Hamilton Lane Incorporated is an American alternative investment management and advisory company headquartered in Conshohocken, Pennsylvania. The company provides private markets investments to its clients.
The company has 22 offices globally and has offices in North America, Europe, the Middle East and Asia-Pacific."
Harbert Management Corporation,"Harbert Management Corporation, based in Birmingham, Alabama, is a United States investment management company founded in 1993 by Raymond J. Harbert."
Harbinger Capital,"Harbinger Capital Partners is a private hedge fund based in New York City, New York, founded by Philip Falcone. Harbinger is a highly diversified multi-strategy hedge fund. Notable investments have included sub-prime mortgages in the United States and the United Kingdom, such as HBOS, and LightSquared, a wireless communications company that filed bankruptcy in 2012."
HarbourVest Partners,"HarbourVest Partners, LLC is a private equity fund of funds and one of the largest private equity investment managers globally. The firm invests in all types of private equity funds, including venture capital and leveraged buyout funds, and also directly in operating companies.
Founded in 1982 as Hancock Venture Partners, a subsidiary of John Hancock Insurance, HarbourVest is based in Boston, Massachusetts with offices in Beijing, Bogota, Seoul, Tel Aviv, Tokyo, Toronto, London, Singapore and Hong Kong.  HarbourVest has approximately 80 investment professionals globally and manages approximately $75 billion of investor commitments.
Investors in HarbourVest funds include various types of institutional investors such as public and corporate pension funds, endowments, foundations and financial institutions.
In June 2024, HarbourVest Partners ranked 47th in Private Equity International's PEI 300 ranking among the world's largest private equity firms."
Harrison Street Real Estate Capital,"Harrison Street Real Estate Capital, which uses the trade name Harrison Street, is a real estate investment firm headquartered in Chicago, Illinois. The firm is currently the alternative real assets arm of Colliers International.
In 2024, Harrison Street ranks as one of the top five owners in senior housing in the U.S.

"
Harvest Partners,"Harvest Partners is a private equity firm focused on leveraged buyout and growth capital investments in middle market industrial, business services, consumer and retail companies.
The firm, which was founded in 1981 by Harvey Mallement and Harvey Wertheim, is based in New York City.  Prior to co-founding Harvest, Mallement was managing partner of Masco Associates, making private equity investments on behalf of Masco Corporation and Wertheim managed venture capital and private equity investment activities at Research and Science Investors, a venture capital and investment management firm.
In October 2018, Goldman Sachs Asset Management's Petershill program made a strategic minority investment in Harvest Partners representing 15 percent of the firm.
Source: Private Equity Intelligence

"
Heartland Industrial Partners,"Heartland Industrial Partners was a private equity firm founded in 1999 focused on industry consolidation and growth capital investments in middle-market industrial companies.
The firm, which was based in Stamford, Connecticut, terminated its registration with the SEC in 2013.

"
Heitman LLC,"Heitman LLC (Heitman) is an American real estate investment firm headquartered in Chicago. It has three main business areas, private equity real estate, real estate debt and investment in real estate securities such as Real estate investment trusts (REITs).
Outside the United States, the firm has offices in Europe and Asia-Pacific.

"
